id;ident;name;latitude_deg;longitude_deg
323361;00AA;Aero B Ranch Airport;38.704022;-101.473911
6524;00AK;Lowell Field;59.94919968;-151.6959991
6525;00AL;Epps Airpark;34.8647995;-86.77030182
322127;00AS;Fulton Airport;34.9428028;-97.8180194
6527;00AZ;Cordes Airport;34.30559921;-112.1650009
6528;00CA;Goldstone /Gts/ Airport;35.3504982;-116.8880005
324424;00CL;Williams Ag Airport;39.427188;-121.763427
6531;00FA;Grass Patch Airport;28.64550018;-82.21900177
6533;00FL;River Oak Airport;27.23089981;-80.96920013
6534;00GA;Lt World Airport;33.76750183;-84.06829834
6537;00ID;Delta Shores Airport;48.14530182;-116.2139969
322581;00IG;Goltl Airport;39.724028;-101.395994
6539;00IL;Hammer Airport;41.97840118;-89.56040192
6541;00IS;Hayenga's Cant Find Farms Airport;40.02560043;-89.12290192
6542;00KS;Hayden Farm Airport;38.72779846;-94.93049622
6543;00KY;Robbins Roost Airport;37.40940094;-84.61969757
6545;00LS;Lejeune Airport;30.13629913;-92.42939758
6546;00MD;Slater Field;38.75709915;-75.75379944
6548;00MN;Battle Lake Municipal Airport;46.29999924;-95.70030212
6549;00MO;Cooper Flying Service Airport;37.20280075;-94.41239929
6551;00N;Bucks Airport;39.47320175;-75.18520355
6552;00NC;North Raleigh Airport;36.08520126;-78.37139893
6554;00NY;Weiss Airfield;42.90010071;-77.49970245
6555;00OH;Exit 3 Airport;41.59090042;-84.14219666
328503;00OK;Gull Bay Landing Airport;36.198598;-96.217693
45773;00PN;Ferrell Field;41.2995;-80.211111
6560;00S;Mc Kenzie Bridge State Airport;44.18320084;-122.0889969
6561;00SC;Flying O Airport;34.00939941;-80.26719666
330391;00SD;Homan Field;44.809158;-96.498897
6564;00TN;Ragsdale Road Airport;35.51589966;-85.95359802
6565;00TS;Alpine Range Airport;32.60760117;-97.24199677
6568;00VA;Vaughan Airport;36.57600021;-78.9991684
6569;00VI;Groundhog Mountain Airport;36.66329956;-80.49949646
6570;00W;Lower Granite State Airport;46.67350006;-117.4430008
6571;00WA;Howell Airport;47.17839813;-122.7720032
6572;00WI;Northern Lite Airport;44.3042984;-89.05010223
6573;00WN;Hawks Run Airport;46.25;-117.2490005
6574;00WV;Lazy J. Aerodrome;38.82889938;-79.8660965
6575;00XS;L P Askew Farms Airport;33.03340149;-101.9339981
6576;01A;Purkeypile Airport;62.9435997;-152.2700043
6578;01AL;Ware Island Airport;32.94599915;-86.51390076
6583;01CL;Swansboro Country Airport;38.79990005;-120.7340012
6587;01FA;Rybolt Ranch Airport;28.58939934;-81.14420319
6589;01FL;Cedar Knoll Flying Ranch Airport;28.78190041;-81.15920258
6591;01GE;The Farm Airport;32.67440033;-82.77110291
6592;01IA;Stender Airport;41.66109848;-90.74130249
6530;01ID;Lava Hot Springs Airport;42.6082;-112.031998
6593;01II;Myers Field;39.88499832;-86.50669861
6596;01IS;William E. Koenig Airport;39.01620102;-90.31819916
6597;01J;Hilliard Airpark;30.68630028;-81.90570068
6598;01K;Caldwell Municipal Airport;37.03609848;-97.58640289
6599;01KS;Flying N Ranch Airport;38.54059982;-97.00330353
6601;01LA;Barham Airport;32.63899994;-91.7736969
6602;01LL;Schumaier Restricted Landing Area;38.12580109;-89.46389771
6603;01LS;Country Breeze Airport;30.70599937;-91.07740021
6610;01MT;Crystal Lakes Resort Airport;48.78910065;-114.8799973
6611;01NC;Topsail Airpark;34.47529984;-77.58139801
6612;01NE;Detour Airport;40.84360123;-100.6529999
6613;01NH;Moore Airfield;43.6445;-72.086998
45537;01NM;Champion Ranch Airport;33.008611;-104.540278
6615;01NV;Lantana Ranch Airport;38.76390076;-119.0270004
6621;01PN;Bierly(Personal Use) Airport;40.93059921;-77.73889923
6622;01PS;Nort's Resort Airport;41.59590149;-76.02960205
6623;01SC;York Airport;35.03210068;-81.25279999
6625;01TE;Smith Field;32.73759842;-96.4280014
6626;01TN;Colonial Air Park;34.9958992;-89.73059845
6628;01TX;Mims Farm Ultralightport;32.38759995;-96.87750244
6629;01U;Duckwater Airport;38.85160065;-115.6340027
6630;01UT;La Sal Junction Airport;38.30830002;-109.3960037
6631;01VA;Pickles Airport;39.125;-77.92500305
6633;01WI;Prehn Cranberry Company Airport;44.00999832;-90.3891983
6635;01WY;Keyhole Airport;44.34719849;-104.810997
6637;02AK;Rustic Wilderness Airport;61.87689972;-150.0980072
6638;02AL;Bass Field;30.37150002;-87.76439667
6642;02CD;Shannon Field;34.12960052;-90.52400208
6643;02CL;Conover Air Lodge Airport;34.761101;-119.058998
6644;02CO;Mc Cullough Airport;37.6432991;-106.0469971
6646;02FA;Osborn Airfield;28.52669907;-81.87480164
45347;02FL;Cuchens Airport;30.642778;-86.123889
6648;02GA;Doug Bolton Field;34.20259857;-83.42900085
6649;02GE;Etowah Fields Airport;34.1753006;-84.92440033
6652;02ID;Morgan Ranch Airport;44.55550003;-115.3050003
6653;02II;King Ultralightport;40.06230164;-86.21050262
6654;02IN;Diamond P. Field;40.20890045;-85.540802
6656;02KS;Jmj Landing Airport;39.22219849;-96.05529785
322099;02MD;Garner Field;38.672544;-76.709739
6661;02ME;Nadeau's Airport;43.5373;-70.929397
6662;02MI;Fairplains Airpark;43.15710068;-85.14849854
6663;02MN;Greenbush Municipal Airport;48.68330002;-96.19200134
6664;02MO;Troy Airpark;39.04999924;-91.03350067
6665;02MS;Watts Field;34.10010147;-90.84680176
6668;02NE;Benes Service Airport;41.07450104;-96.90450287
6671;02NV;Paiute Meadows Airport;41.30329895;-118.5979996
6673;02OH;Zimmerman Airport;41.37639999;-83.08329773
6674;02OI;Murtha Airport;41.80199814;-80.56539917
6676;02OR;Rowena Dell Airport;45.68149948;-121.3160019
6680;02PR;Cuylers Airport;18.45330048;-66.36689758
6681;02PS;Hughes Ultralightport;41.90060043;-77.2303009
6682;02SC;Harpers Airport;32.75849915;-81.22480011
6683;02T;Wise River Airport;45.76910019;-112.9820023
6686;02TN;Ellis Field;35.7806015;-86.584198
6688;02TX;The Palms At Kitty Hawk Airport;33.37040329;-101.9228821
6689;02UT;Lucin Airport;41.36629868;-113.8430023
6690;02VA;The Greenhouse Airport;38.43569946;-77.85720062
6692;02WA;Cawleys South Prairie Airport;47.15230179;-122.0940018
6693;02WI;Beer Airport;45.0318985;-92.65579987
6694;02WN;Fowler Field;48.74580002;-119.3190002
330393;02XA;JLS Farms Airport;33.591319;-95.882864
6695;02XS;Seidel Ranch Airport;30.14769936;-97.66280365
6699;03AZ;Thompson International Aviation Airport;31.4333992;-110.0839996
6701;03CO;Kugel-Strong Airport;40.21250153;-104.7440033
6702;03FA;Lake Persimmon Airstrip;27.35309982;-81.40809631
322717;03GA;HIA Airport;32.5623056;-81.8576944
6706;03IA;East Field;41.58190155;-92.46130371
6707;03ID;Flying Y Ranch Airport;44.79430008;-116.5329971
6708;03II;Davis Field Ultralightport;37.9620018;-87.77890015
6709;03IL;Wix Airport;41.40230179;-87.8167038
6710;03IN;Heinzman Airport;40.18000031;-86.01249695
6713;03KY;Flying H Farms Airport;37.79169846;-87.54139709
6717;03MA;Hadley Airport;42.39310074;-72.55200195
6719;03ME;Maple Ridge Airport;44.08420181;-70.62729645
6721;03MN;Nauerth Land Ranch Airport;43.62519836;-95.22470093
6724;03MT;Cascade Field;47.267327;-111.71748
6725;03MU;Mc Donnell Airport;38.49250031;-94.41249847
4650;03N;Utirik Airport;11.222;169.852005
6726;03NC;Pilots Ridge Airport;34.10430145;-77.90419769
6727;03ND;Olafson Brothers Airport;48.62639999;-97.82900238
6728;03NE;Hyde Ranch Airport;41.54639816;-99.33119965
6731;03NV;Llama Ranch Airport;40.58440018;-115.2979965
6732;03NY;Talmage Field;40.95840073;-72.71679688
6733;03OH;Gibbs Field;41.41839981;-83.01740265
6735;03OK;Sahoma Lake Airport;36.04119873;-96.16139984
6736;03OR;Powwatka Ridge Airport;45.85540009;-117.4840012
322892;03PR;Sun View Field Airport;39.065947;-94.921703
6740;03S;Sandy River Airport;45.40179825;-122.2289963
6743;03TE;Barronena Ranch Airport;27.49110031;-98.66950226
6747;03UT;A Z Minerals Corporation Airport;37.12080002;-109.9860001
6749;03WA;Spangle Field;47.40819931;-117.3720016
6750;03WI;Zink Airport;44.028873;-88.883945
6751;03WN;Aerostone Ranch Airport;45.875;-120.6699982
6752;03XS;Creekside Airport;31.31809998;-100.7539978
325443;04AA;Phil's Airport;60.535833;-150.811387
6755;04AZ;Chinle Airport;36.15420151;-109.5510025
6756;04CA;Gray Butte Field;34.5639;-117.675003
6757;04CL;Hunt's Sky Ranch Airport;33.08169937;-116.4410019
6760;04FA;Richards Field;25.55870056;-80.51509857
6761;04FL;Cross Creek Farms Airport;29.23940086;-81.22200012
6762;04I;Columbus Southwest Airport;39.91120148;-83.188797
6763;04IA;Middlekoop Airport;41.0882988;-92.05460358
6764;04ID;Lanham Field;43.87770081;-116.5370026
6765;04II;Turkey Run Airport;41.13059998;-84.99410248
6766;04IL;Schertz Aerial Service - Hudson Airport;40.63750076;-89.00700378
6767;04IS;Van Gorder Airport;40.17860031;-88.56900024
6769;04KY;Natchez Trace Farm Airport;37.13510132;-85.78939819
6771;04LL;Brunner Airport;42.13610077;-88.28759766
6775;04ME;Beech Hill Airport;44.66669846;-69.89389801
6776;04MI;Rapids Airway Airport;42.53450012;-84.62830353
6777;04MN;Helblad Airport;47.9858017;-94.68689728
6778;04MO;Airpark Private Airport;39.30120087;-91.45149994
6779;04MS;Nick's Flying Service Inc Airport;32.9396019;-90.83730316
6780;04MT;Pluhar Airport;47.13749778;-106.488095
6782;04NE;Mc Connell Field Airport;41.15999985;-101.2990036
6783;04NJ;Emmanuel Airport;39.59680176;-75.23349762
6784;04NV;Kingston Ranch Airport;35.75550079;-115.6650009
6785;04NY;Klaverack Airport;42.26229858;-73.69619751
6788;04OR;Collins Landing Strip;44.74990082;-120.2009964
6794;04TN;Hensley Airpark;36.18330002;-82.67890167
6796;04TX;Pocock Airport;31.73220062;-97.36889648
6797;04UT;Navajo Mountain Airport;37.00830078;-110.7949982
6798;04V;Saguache Municipal Airport;38.0990833;-106.1743889
6800;04VG;Manquin Flight Park Ultralightport;37.71440125;-77.21179962
6801;04VT;Lightning Bolt Field Airport;44.40110016;-72.26360321
6802;04W;Field of Dreams Airport;46.02280045;-92.895401
6803;04WA;Ox Meadows Airport;47.58179855;-117.4369965
6804;04WI;Dutch Gap Airstrip;42.52339935;-88.01670074
45903;04WN;Stillwater Creek Airport;46.963889;-119.641667
6807;05AK;Wasilla Creek Airpark;61.66830063;-149.1880035
45302;05AR;Ozark Skies Airpark;36.000633;-93.57025
6812;05CL;Pope Valley Airport;38.6106987;-122.3909988
6813;05CO;Rancho De Aereo Airport;40.2149839;-104.9844228
6815;05FA;Melanie's Airport;30.91889954;-86.21829987
6817;05FL;Charlton Strip;26.5230999;-81.40830231
6818;05GA;Raju Airport;32.07139969;-84.71440125
6819;05IA;Spotts Field;43.13750076;-93.06829834
6820;05ID;Running Creek Ranch Airport;45.914101;-114.835999
6821;05II;Reichhart Airport;41.02870178;-84.99720001
6822;05IL;Classic Landings Airport;41.15670013;-88.01670074
6823;05IN;Cooper Airport;39.64199829;-86.5042038
6824;05IS;Hardy Airport;39.72589874;-89.26399994
6825;05KS;Darbro Field;37.26620102;-95.959198
6826;05KY;Cartersville Airport;37.53689957;-84.40720367
6827;05LA;Greg's Flying Service Airport;32.26530075;-91.69779968
6829;05LS;Grass Roots Airport;31.25219917;-92.47579956
6832;05MD;Breezecroft Airport;39.25009918;-76.2052002
6833;05ME;Drisko Airport;44.6570015;-67.55919647
329892;05MT;Jones Landing;45.815368;-111.152163
6837;05NE;Mc Kay Airport;41.72219849;-98.30899811
324404;05NV;Baker Ranches Airport;39.0311;-114.088219
6841;05OI;Dorlon Airpark;41.28839874;-81.96260071
6843;05OR;Peacock Ranch Airport;45.44150162;-117.3509979
6846;05PS;Mills Brothers Airport;40.14279938;-77.86190033
6847;05S;Vernonia Airfield;45.85150146;-123.2419968
6848;05TA;Brandes Air Field;29.8090992;-96.26509857
6849;05TE;Hilde-Griff Field;30.7220993;-97.79139709
6851;05TS;Dew Drop Airport;33.12929916;-97.3585968
6852;05TX;Circle 'A' Ranch Airport;32.12919998;-97.40419769
6853;05UT;Oljato Airport;37.03329849;-110.3170013
6854;05V;Blanca Airport;37.41109848;-105.552002
6855;05VA;Providence Airport;37.2242012;-78.41860199
6858;05WI;Ames Private Airport;42.65110016;-88.74590302
45907;05WN;Flat Creek Field;48.702222;-118.0475
6859;05XS;Johnson Memorial Airport;33.07929993;-91.54319763
6860;05Y;Henning Municipal Airport;46.30379868;-95.4394989
45272;06AK;June Lake Airpark;61.627619;-149.575331
6862;06AR;Bondair Airport;35.54449844;-92.18489838
6867;06CO;Jecan Airport;37.38750076;-103.6910019
6868;06FA;William P Gwinn Airport;26.90839958;-80.3289032
6869;06FD;Grass Roots Airpark;28.64170074;-81.88500214
6873;06IA;Rich Field;41.84140015;-91.83429718
6874;06ID;Larkin Airport;43.46269989;-116.3590012
6875;06IL;Humm Airport;41.59949875;-88.86990356
6877;06IS;Sinele Strip;40.54639816;-91.27429962
6886;06MN;Pike Field Airport;47.65190125;-92.41670227
6887;06MO;Noahs Ark Airport;39.23059845;-94.80439758
6888;06MT;Torgerson Airport;48.55830002;-112.1090012
6889;06N;Randall Airport;41.43199921;-74.39160156
6890;06NC;Tailwinds Airport;34.82749939;-78.93029785
6891;06ND;Fitterer's Strip;46.74890137;-101.6689987
6893;06NH;Cole Farm Airport;42.92839813;-70.97309875
324414;06NV;Silver Creek Airport;39.098333;-114.150277
