id;ident;iata;name;latitude_deg;longitude_deg
1;AYGA;GKA;Goroka Airport;-6.081689835;145.3919983
2;AYMD;MAG;Madang Airport;-5.207079887;145.7890015
3;AYMH;HGU;Mount Hagen Kagamuga Airport;-5.826789856;144.2960052
4;AYNZ;LAE;Nadzab Airport;-6.569803;146.725977
5;AYPY;POM;Port Moresby Jacksons International Airport;-9.443380356;147.2200012
6;AYWK;WWK;Wewak International Airport;-3.583830118;143.6690063
7;BGBW;UAK;Narsarsuaq Airport;61.16049957;-45.42599869
8;BGGH;GOH;Godthaab / Nuuk Airport;64.19090271;-51.67810059
9;BGSF;SFJ;Kangerlussuaq Airport;67.0122219;-50.71160316
10;BGTL;THU;Thule Air Base;76.53119659;-68.70320129
11;BIAR;AEY;Akureyri Airport;65.66000366;-18.0727005
12;BIEG;EGS;Egilsstadir Airport;65.28330231;-14.40139961
13;BIHN;HFN;Hornafjordur Airport;64.295601;-15.2272
14;BIHU;HZK;Husavik Airport;65.952301;-17.426001
15;BIIS;IFJ;isafjordur Airport;66.05809784;-23.13529968
16;BIKF;KEF;Keflavik International Airport;63.98500061;-22.60560036
17;BIPA;PFJ;Patreksfjordur Airport;65.555801;-23.965
18;BIRK;RKV;Reykjavik Airport;64.12999725;-21.94059944
19;BISI;SIJ;Siglufjordur Airport;66.133301;-18.9167
20;BIVM;VEY;Vestmannaeyjar Airport;63.42430115;-20.27890015
21;CYAM;YAM;Sault Ste Marie Airport;46.48500061;-84.50939941
24;CYAY;YAY;St. Anthony Airport;51.39189911;-56.08309937
25;CYAZ;YAZ;Tofino / Long Beach Airport;49.079833;-125.775583
26;CYBB;YBB;Kugaaruk Airport;68.534401;-89.808098
27;CYBC;YBC;Baie Comeau Airport;49.13249969;-68.20439911
28;CYBG;YBG;CFB Bagotville;48.33060074;-70.99639893
29;CYBK;YBK;Baker Lake Airport;64.29889679;-96.07779694
30;CYBL;YBL;Campbell River Airport;49.95080185;-125.2710037
31;CYBR;YBR;Brandon Municipal Airport;49.91;-99.951897
32;CYCB;YCB;Cambridge Bay Airport;69.10810089;-105.1380005
33;CYCD;YCD;Nanaimo Airport;49.05497022;-123.8698626
34;CYCG;YCG;Castlegar/West Kootenay Regional Airport;49.29639816;-117.6320038
35;CYCH;YCH;Miramichi Airport;47.007801;-65.449203
36;CYCL;YCL;Charlo Airport;47.990799;-66.330299
37;CYCO;YCO;Kugluktuk Airport;67.816704;-115.143997
38;CYCT;YCT;Coronation Airport;52.07500076;-111.4449997
39;CYCW;YCW;Chilliwack Airport;49.15280151;-121.939003
40;CYCY;YCY;Clyde River Airport;70.48609924;-68.51670074
41;CYZS;YZS;Coral Harbour Airport;64.19329834;-83.35939789
42;CYDA;YDA;Dawson City Airport;64.04309845;-139.128006
43;CYDB;YDB;Burwash Airport;61.37110138;-139.0410004
45;CYDF;YDF;Deer Lake Airport;49.21080017;-57.39139938
46;CYDL;YDL;Dease Lake Airport;58.42219925;-130.0319977
47;CYDN;YDN;Dauphin Barker Airport;51.10079956;-100.052002
48;CYDQ;YDQ;Dawson Creek Airport;55.74229813;-120.1829987
49;CYEG;YEG;Edmonton International Airport;53.30970001;-113.5800018
50;CYEK;YEK;Arviat Airport;61.09420013;-94.07080078
51;CYEN;YEN;Estevan Airport;49.21030045;-102.9660034
52;CYET;YET;Edson Airport;53.57889938;-116.4649963
53;CYEU;YEU;Eureka Airport;79.99469757;-85.81420136
54;CYEV;YEV;Inuvik Mike Zubko Airport;68.30419922;-133.4830017
55;CYFB;YFB;Iqaluit Airport;63.756402;-68.555801
56;CYFC;YFC;Fredericton Airport;45.8689003;-66.53720093
57;CYFE;YFE;Forestville Airport;48.74610138;-69.09719849
58;CYFO;YFO;Flin Flon Airport;54.67810059;-101.6819992
59;CYFR;YFR;Fort Resolution Airport;61.18080139;-113.6900024
60;CYFS;YFS;Fort Simpson Airport;61.7602005;-121.2369995
61;CYGK;YGK;Kingston Norman Rogers Airport;44.22529984;-76.59690094
62;CYGL;YGL;La Grande Riviere Airport;53.62530136;-77.70420074
63;CYGP;YGP;Gaspe (Michel-Pouliot) Airport;48.77529907;-64.47859955
64;CYGQ;YGQ;Geraldton Greenstone Regional Airport;49.77830124;-86.93939972
65;CYGR;YGR;iles-de-la-Madeleine Airport;47.42470169;-61.77809906
66;CYHB;YHB;Hudson Bay Airport;52.81669998;-102.310997
67;CYHD;YHD;Dryden Regional Airport;49.831699;-92.744202
68;CYHI;YHI;Ulukhaktok Holman Airport;70.76280212;-117.8059998
69;CYHK;YHK;Gjoa Haven Airport;68.63559723;-95.84970093
70;CYHM;YHM;John C. Munro Hamilton International Airport;43.17359924;-79.93499756
71;CYHU;YHU;Montreal / Saint-Hubert Airport;45.51750183;-73.41690063
72;CYHY;YHY;Hay River / Merlyn Carter Airport;60.83969879;-115.7829971
73;CYHZ;YHZ;Halifax / Stanfield International Airport;44.88079834;-63.50859833
74;CYIB;YIB;Atikokan Municipal Airport;48.77389908;-91.63860321
75;CYIO;YIO;Pond Inlet Airport;72.6832962;-77.96669769
76;CYJN;YJN;St Jean Airport;45.29439926;-73.28109741
77;CYJT;YJT;Stephenville Airport;48.5442009;-58.54999924
78;CYKA;YKA;Kamloops Airport;50.70220184;-120.4440002
79;CYKF;YKF;Waterloo Airport;43.46080017;-80.37860107
80;CYKL;YKL;Schefferville Airport;54.80530167;-66.80529785
81;CYKY;YKY;Kindersley Airport;51.51750183;-109.1809998
82;CYKZ;YKZ;Buttonville Municipal Airport;43.86220169;-79.37000275
83;CYLD;YLD;Chapleau Airport;47.81999969;-83.34670258
84;CYLJ;YLJ;Meadow Lake Airport;54.12530136;-108.5230026
85;CYLL;YLL;Lloydminster Airport;53.30920029;-110.072998
86;CYLT;YLT;Alert Airport;82.51779938;-62.2806015
87;CYLW;YLW;Kelowna International Airport;49.95610046;-119.3779984
88;CYMA;YMA;Mayo Airport;63.61640167;-135.8679962
89;CYMJ;YMJ;Moose Jaw Air Vice Marshal C. M. McEwen Airport;50.33029938;-105.5589981
90;CYMM;YMM;Fort McMurray Airport;56.65330124;-111.2220001
91;CYMO;YMO;Moosonee Airport;51.29109955;-80.60780334
92;CYMW;YMW;Maniwaki Airport;46.27280045;-75.99060059
93;CYMX;YMX;Montreal International (Mirabel) Airport;45.679501;-74.038696
94;CYNA;YNA;Natashquan Airport;50.18999863;-61.78919983
95;CYND;YND;Ottawa / Gatineau Airport;45.52170181;-75.56359863
96;CYNM;YNM;Matagami Airport;49.76169968;-77.80280304
97;CYOC;YOC;Old Crow Airport;67.57060242;-139.8390045
98;CYOD;YOD;CFB Cold Lake;54.40499878;-110.2789993
99;CYOJ;YOJ;High Level Airport;58.62139893;-117.1650009
100;CYOW;YOW;Ottawa Macdonald-Cartier International Airport;45.32249832;-75.66919708
101;CYPA;YPA;Prince Albert Glass Field;53.21419907;-105.6729965
102;CYPE;YPE;Peace River Airport;56.226898;-117.446999
103;CYPG;YPG;Southport Airport;49.903099;-98.273817
105;CYPL;YPL;Pickle Lake Airport;51.44639969;-90.21420288
106;CYPN;YPN;Port Menier Airport;49.83639908;-64.28859711
107;CYPQ;YPQ;Peterborough Airport;44.22999954;-78.36329651
108;CYPR;YPR;Prince Rupert Airport;54.28609848;-130.4450073
109;CYPY;YPY;Fort Chipewyan Airport;58.76720047;-111.1169968
110;CYQA;YQA;Muskoka Airport;44.97470093;-79.30329895
111;CYQB;YQB;Quebec Jean Lesage International Airport;46.7911;-71.393303
112;CYQF;YQF;Red Deer Regional Airport;52.18220139;-113.8939972
113;CYQG;YQG;Windsor Airport;42.27560043;-82.95559692
114;CYQH;YQH;Watson Lake Airport;60.11640167;-128.8220062
115;CYQK;YQK;Kenora Airport;49.78829956;-94.36309814
116;CYQL;YQL;Lethbridge County Airport;49.63029861;-112.8000031
117;CYQM;YQM;Greater Moncton International Airport;46.11220169;-64.6785965
119;CYQQ;YQQ;Comox Airport;49.71080017;-124.887001
120;CYQR;YQR;Regina International Airport;50.43190002;-104.6660004
121;CYQT;YQT;Thunder Bay Airport;48.37189865;-89.32389832
122;CYQU;YQU;Grande Prairie Airport;55.17969894;-118.8850021
123;CYQV;YQV;Yorkton Municipal Airport;51.26470184;-102.461998
124;CYQW;YQW;North Battleford Airport;52.76919937;-108.2440033
125;CYQX;YQX;Gander International Airport;48.93690109;-54.56809998
126;CYQY;YQY;Sydney / J.A. Douglas McCurdy Airport;46.1614;-60.047798
127;CYQZ;YQZ;Quesnel Airport;53.02610016;-122.5100021
128;CYRB;YRB;Resolute Bay Airport;74.71690369;-94.9693985
129;CYRI;YRI;Riviere-du-Loup Airport;47.76440048;-69.58470154
130;CYRJ;YRJ;Roberval Airport;48.52000046;-72.26560211
131;CYRM;YRM;Rocky Mountain House Airport;52.42969894;-114.9039993
132;CYRT;YRT;Rankin Inlet Airport;62.81140137;-92.11579895
133;CYSB;YSB;Sudbury Airport;46.625;-80.79889679
134;CYSC;YSC;Sherbrooke Airport;45.43859863;-71.69139862
135;CYSJ;YSJ;Saint John Airport;45.31610107;-65.89029694
136;CYSM;YSM;Fort Smith Airport;60.02030182;-111.961998
137;CYSR;YSR;Nanisivik Airport;72.982201;-84.613602
138;CYSU;YSU;Summerside Airport;46.44060135;-63.83359909
139;CYSY;YSY;Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport;71.99389648;-125.2429962
140;CYTE;YTE;Cape Dorset Airport;64.23000336;-76.52670288
141;CYTH;YTH;Thompson Airport;55.80110168;-97.86419678
142;CYTR;YTR;CFB Trenton;44.1189003;-77.52809906
143;CYTS;YTS;Timmins/Victor M. Power;48.56969833;-81.37670136
144;CYTZ;YTZ;Billy Bishop Toronto City Centre Airport;43.627499;-79.396202
145;CYUB;YUB;Tuktoyaktuk Airport;69.4332962;-133.026001
146;CYUL;YUL;Montreal / Pierre Elliott Trudeau International Airport;45.47060013;-73.74079895
147;CYUT;YUT;Repulse Bay Airport;66.52140045;-86.22470093
148;CYUX;YUX;Hall Beach Airport;68.77610016;-81.2425
149;CYUY;YUY;Rouyn Noranda Airport;48.20610046;-78.83560181
150;CYVC;YVC;La Ronge Airport;55.15140152;-105.262001
151;CYVG;YVG;Vermilion Airport;53.35580063;-110.8239975
152;CYVM;YVM;Qikiqtarjuaq Airport;67.54579926;-64.03140259
153;CYVO;YVO;Val-d'Or Airport;48.05329895;-77.78279877
154;CYVP;YVP;Kuujjuaq Airport;58.09609985;-68.42690277
155;CYVQ;YVQ;Norman Wells Airport;65.28160095;-126.7979965
156;CYVR;YVR;Vancouver International Airport;49.19390106;-123.1839981
157;CYVT;YVT;Buffalo Narrows Airport;55.84189987;-108.4179993
158;CYVV;YVV;Wiarton Airport;44.7458;-81.107201
159;CYWA;YWA;Petawawa Airport;45.95220184;-77.31919861
160;CYWG;YWG;Winnipeg / James Armstrong Richardson International Airport;49.90999985;-97.23989868
161;CYWK;YWK;Wabush Airport;52.9219017;-66.86440277
162;CYWL;YWL;Williams Lake Airport;52.18310165;-122.0540009
163;CYWY;YWY;Wrigley Airport;63.20940018;-123.4369965
164;CYXC;YXC;Cranbrook/Canadian Rockies International Airport;49.6108017;-115.7819977
165;CYXD;YXD;Edmonton City Centre (Blatchford Field) Airport;53.57249832;-113.5210037
